"","Rank","Title","Runtime","Genre","Rating","Metascore","Votes","Director","Actor","Gross"
"1078",28,"Star Trek: Insurrection","103 min","Action, Adventure, Sci-Fi",6.4,64,72843,"Jonathan Frakes","Patrick Stewart","$70.12M"
"1079",29,"Blade","120 min","Action, Horror, Sci-Fi",7.1,46,256019,"Stephen Norrington","Wesley Snipes","$70.09M"
"1080",30,"Lost in Space","130 min","Action, Adventure, Family",5.2,42,70728,"Stephen Hopkins","Gary Oldman","$69.12M"
"1081",31,"A Perfect Murder","107 min","Crime, Drama, Thriller",6.5,50,82256,"Andrew Davis","Michael Douglas","$67.64M"
"1082",32,"The Parent Trap","128 min","Adventure, Comedy, Drama",6.6,64,127398,"Nancy Meyers","Lindsay Lohan","$66.31M"
"1083",33,"Ever After: A Cinderella Story","121 min","Comedy, Drama, Romance",7,66,72149,"Andy Tennant","Drew Barrymore","$65.71M"
"1084",34,"Hope Floats","114 min","Drama, Romance",6.1,42,25994,"Forest Whitaker","Sandra Bullock","$60.05M"
"1085",35,"U.S. Marshals","131 min","Action, Crime, Thriller",6.6,47,99794,"Stuart Baird","Tommy Lee Jones","$57.17M"
"1086",36,"The Man in the Iron Mask","132 min","Action, Adventure, Drama",6.5,48,161140,"Randall Wallace","Leonardo DiCaprio","$56.97M"
"1087",37,"A Civil Action","115 min","Drama",6.6,68,28302,"Steven Zaillian","John Travolta","$56.70M"
"1088",38,"Snake Eyes","98 min","Crime, Mystery, Thriller",6,52,78509,"Brian De Palma","Nicolas Cage","$55.59M"
"1089",39,"What Dreams May Come","113 min","Drama, Fantasy, Romance",7,44,105513,"Vincent Ward","Robin Williams","$55.49M"
"1090",40,"Halloween H20: 20 Years Later","86 min","Horror, Thriller",5.8,52,68810,"Steve Miner","Jamie Lee Curtis","$55.04M"
"1091",41,"Small Soldiers","110 min","Action, Adventure, Comedy",6.2,NA,95932,"Joe Dante","Kirsten Dunst","$54.68M"
"1092",42,"T-Rex: Back to the Cretaceous","45 min","Adventure, Family, Fantasy",4.7,NA,749,"Brett Leonard","Peter Horton","$53.35M"
"1093",43,"Mighty Joe Young","114 min","Action, Adventure, Family",5.7,51,28479,"Ron Underwood","Bill Paxton","$50.63M"
"1094",44,"Practical Magic","104 min","Comedy, Drama, Fantasy",6.3,46,75902,"Griffin Dunne","Sandra Bullock","$46.68M"
"1095",45,"Meet Joe Black","178 min","Drama, Fantasy, Romance",7.2,43,226521,"Martin Brest","Brad Pitt","$44.62M"
"1096",46,"The Negotiator","140 min","Action, Crime, Drama",7.3,62,135488,"F. Gary Gray","Samuel L. Jackson","$44.48M"
"1097",47,"Ronin","122 min","Action, Crime, Thriller",7.3,67,177360,"John Frankenheimer","Robert De Niro","$41.62M"
"1098",48,"The Siege","116 min","Action, Thriller",6.4,53,70771,"Edward Zwick","Denzel Washington","$40.98M"
"1099",49,"Pleasantville","124 min","Comedy, Drama, Fantasy",7.5,71,124842,"Gary Ross","Tobey Maguire","$40.57M"
"1100",50,"The Faculty","104 min","Horror, Mystery, Sci-Fi",6.5,61,116193,"Robert Rodriguez","Jordana Brewster","$40.06M"
"1101",1,"Star Wars: Episode I - The Phantom Menace","136 min","Action, Adventure, Fantasy",6.5,51,755082,"George Lucas","Ewan McGregor","$474.54M"
"1102",2,"The Sixth Sense","107 min","Drama, Mystery, Thriller",8.1,64,941076,"M. Night Shyamalan","Bruce Willis","$293.51M"
"1103",3,"Toy Story 2","92 min","Animation, Adventure, Comedy",7.9,88,547592,"John Lasseter","Tom Hanks","$245.85M"
"1104",4,"Austin Powers: The Spy Who Shagged Me","95 min","Action, Adventure, Comedy",6.6,59,223517,"Jay Roach","Mike Myers","$206.04M"
"1105",5,"The Matrix","136 min","Action, Sci-Fi",8.7,73,1752038,"Lana Wachowski","Keanu Reeves","$171.48M"
"1106",6,"Tarzan","88 min","Animation, Adventure, Comedy",7.3,79,212312,"Chris Buck","Tony Goldwyn","$171.09M"
"1107",7,"Big Daddy","93 min","Comedy, Drama",6.4,41,206806,"Dennis Dugan","Adam Sandler","$163.48M"
"1108",8,"The Mummy","124 min","Action, Adventure, Fantasy",7,48,406325,"Stephen Sommers","Brendan Fraser","$155.25M"
"1109",9,"Runaway Bride","116 min","Comedy, Romance",5.6,39,95540,"Garry Marshall","Julia Roberts","$152.26M"
"1110",10,"The Blair Witch Project","81 min","Horror, Mystery",6.5,81,243062,"Daniel Myrick","Heather Donahue","$140.54M"
"1111",11,"Stuart Little","84 min","Adventure, Comedy, Family",5.9,61,129643,"Rob Minkoff","Michael J. Fox","$140.04M"
"1112",12,"The Green Mile","189 min","Crime, Drama, Fantasy",8.6,61,1201456,"Frank Darabont","Tom Hanks","$136.80M"
"1113",13,"American Beauty","122 min","Drama",8.3,84,1103197,"Sam Mendes","Kevin Spacey","$130.10M"
"1114",14,"The World Is Not Enough","128 min","Action, Adventure, Crime",6.4,57,193109,"Michael Apted","Pierce Brosnan","$126.94M"
"1115",15,"Double Jeopardy","105 min","Crime, Drama, Mystery",6.5,40,81227,"Bruce Beresford","Ashley Judd","$116.74M"
"1116",16,"Notting Hill","124 min","Comedy, Drama, Romance",7.1,68,289804,"Roger Michell","Hugh Grant","$116.09M"
"1117",17,"Wild Wild West","106 min","Action, Comedy, Sci-Fi",4.9,38,156254,"Barry Sonnenfeld","Will Smith","$113.81M"
"1118",18,"Analyze This","103 min","Comedy, Crime",6.7,61,149291,"Harold Ramis","Robert De Niro","$106.89M"
"1119",19,"The General's Daughter","116 min","Crime, Drama, Mystery",6.4,47,56159,"Simon West","John Travolta","$102.71M"
"1120",20,"American Pie","95 min","Comedy",7,58,389023,"Paul Weitz","Jason Biggs","$102.56M"
"1121",21,"Sleepy Hollow","105 min","Fantasy, Horror, Mystery",7.3,65,342934,"Tim Burton","Johnny Depp","$101.07M"
"1122",22,"Inspector Gadget","78 min","Action, Adventure, Comedy",4.2,36,46906,"David Kellogg","Matthew Broderick","$97.40M"
"1123",23,"The Haunting","113 min","Fantasy, Horror, Mystery",5,42,73564,"Jan de Bont","Liam Neeson","$91.41M"
"1124",24,"Entrapment","113 min","Action, Crime, Romance",6.3,54,111208,"Jon Amiel","Sean Connery","$87.70M"
"1125",25,"Payback","100 min","Action, Crime, Drama",7.1,46,134654,"Brian Helgeland","Mel Gibson","$81.53M"
"1126",26,"The Talented Mr. Ripley","139 min","Crime, Drama, Thriller",7.4,76,194832,"Anthony Minghella","Matt Damon","$81.30M"
"1127",27,"Any Given Sunday","162 min","Drama, Sport",6.9,52,115270,"Oliver Stone","Al Pacino","$75.53M"
"1128",28,"Deep Blue Sea","105 min","Action, Adventure, Sci-Fi",5.9,54,129361,"Renny Harlin","Thomas Jane","$73.65M"
"1129",29,"Galaxy Quest","102 min","Adventure, Comedy, Sci-Fi",7.3,70,156497,"Dean Parisot","Tim Allen","$71.58M"
"1130",30,"The Thomas Crown Affair","113 min","Crime, Romance, Thriller",6.9,72,89636,"John McTiernan","Pierce Brosnan","$69.30M"
"1131",31,"Blue Streak","93 min","Action, Comedy, Crime",6.3,46,79662,"Les Mayfield","Martin Lawrence","$68.52M"
"1132",32,"End of Days","122 min","Action, Fantasy, Horror",5.8,33,107817,"Peter Hyams","Arnold Schwarzenegger","$66.89M"
"1133",33,"The Bone Collector","118 min","Crime, Drama, Mystery",6.7,45,161156,"Phillip Noyce","Denzel Washington","$66.52M"
"1134",34,"Bowfinger","97 min","Comedy",6.4,71,68752,"Frank Oz","Steve Martin","$66.38M"
"1135",35,"Deuce Bigalow: Male Gigolo","88 min","Comedy, Romance",5.7,30,72971,"Mike Mitchell","Rob Schneider","$65.54M"
"1136",36,"Life","108 min","Comedy, Crime, Drama",6.8,63,48010,"Ted Demme","Eddie Murphy","$63.84M"
"1137",37,"She's All That","95 min","Comedy, Romance",5.9,51,90067,"Robert Iscove","Freddie Prinze Jr.","$63.37M"
"1138",38,"Fantasia 2000","75 min","Animation, Comedy, Family",7.2,59,36702,"James Algar","James Levine","$60.66M"
"1139",39,"Three Kings","114 min","Action, Adventure, Comedy",7.1,82,165687,"David O. Russell","George Clooney","$60.65M"
"1140",40,"Bicentennial Man","132 min","Comedy, Drama, Sci-Fi",6.9,42,113551,"Chris Columbus","Robin Williams","$58.22M"
"1141",41,"The Cider House Rules","126 min","Drama, Romance",7.4,75,95761,"Lasse Hallström","Tobey Maguire","$57.55M"
"1142",42,"Eyes Wide Shut","159 min","Drama, Mystery, Thriller",7.4,68,317570,"Stanley Kubrick","Tom Cruise","$55.69M"
"1143",43,"Never Been Kissed","107 min","Comedy, Drama, Romance",6.1,60,86490,"Raja Gosnell","Drew Barrymore","$55.47M"
"1144",44,"Forces of Nature","105 min","Comedy, Romance",5.4,46,33357,"Bronwen Hughes","Sandra Bullock","$52.89M"
"1145",45,"Varsity Blues","106 min","Comedy, Drama, Romance",6.5,50,43793,"Brian Robbins","James Van Der Beek","$52.89M"
"1146",46,"Message in a Bottle","126 min","Drama, Romance",6.2,39,37099,"Luis Mandoki","Kevin Costner","$52.88M"
"1147",47,"South Park: Bigger, Longer & Uncut","81 min","Animation, Comedy, Fantasy",7.7,73,198117,"Trey Parker","Trey Parker","$52.04M"
"1148",48,"The Hurricane","146 min","Biography, Drama, Sport",7.6,74,94228,"Norman Jewison","Denzel Washington","$50.67M"
"1149",49,"Stigmata","103 min","Horror",6.2,28,66330,"Rupert Wainwright","Patricia Arquette","$50.05M"
"1150",50,"Pokémon the Movie 2000","99 min","Animation, Action, Adventure",6.1,28,21519,"Michael Haigney","Veronica Taylor","$43.76M"
"1151",1,"How the Grinch Stole Christmas","104 min","Comedy, Family, Fantasy",6.2,46,221995,"Ron Howard","Jim Carrey","$260.04M"
"1152",2,"Cast Away","143 min","Adventure, Drama, Romance",7.8,73,550458,"Robert Zemeckis","Tom Hanks","$233.63M"
"1153",3,"Mission: Impossible II","123 min","Action, Adventure, Thriller",6.1,59,325096,"John Woo","Tom Cruise","$215.41M"
"1154",4,"Gladiator","155 min","Action, Adventure, Drama",8.5,67,1396429,"Ridley Scott","Russell Crowe","$187.71M"
"1155",5,"What Women Want","127 min","Comedy, Fantasy, Romance",6.4,47,199844,"Nancy Meyers","Mel Gibson","$182.81M"
"1156",6,"The Perfect Storm","130 min","Action, Adventure, Drama",6.4,59,161315,"Wolfgang Petersen","George Clooney","$182.62M"
"1157",7,"Meet the Parents","108 min","Comedy, Romance",7,73,320368,"Jay Roach","Ben Stiller","$166.24M"
"1158",8,"X-Men","104 min","Action, Adventure, Sci-Fi",7.4,64,587390,"Bryan Singer","Patrick Stewart","$157.30M"
"1159",9,"Scary Movie","88 min","Comedy",6.2,48,241638,"Keenen Ivory Wayans","Anna Faris","$157.02M"
"1160",10,"What Lies Beneath","130 min","Drama, Horror, Mystery",6.6,51,121359,"Robert Zemeckis","Harrison Ford","$155.46M"
"1161",11,"Dinosaur","82 min","Animation, Adventure, Comedy",6.5,56,56644,"Eric Leighton","D.B. Sweeney","$137.75M"
"1162",12,"Crouching Tiger, Hidden Dragon","120 min","Action, Adventure, Fantasy",7.8,94,260461,"Ang Lee","Chow Yun-Fat","$128.08M"
"1163",13,"Erin Brockovich","131 min","Biography, Drama",7.4,73,185499,"Steven Soderbergh","Julia Roberts","$125.60M"
"1164",14,"Charlie's Angels","98 min","Action, Adventure, Comedy",5.6,52,181916,"McG","Cameron Diaz","$125.31M"
"1165",15,"Traffic","147 min","Crime, Drama, Thriller",7.6,86,201370,"Steven Soderbergh","Michael Douglas","$124.12M"
"1166",16,"Nutty Professor II: The Klumps","106 min","Comedy, Romance, Sci-Fi",4.4,38,49797,"Peter Segal","Eddie Murphy","$123.31M"
"1167",17,"Big Momma's House","99 min","Action, Comedy, Crime",5.2,33,83134,"Raja Gosnell","Martin Lawrence","$117.56M"
"1168",18,"Remember the Titans","113 min","Biography, Drama, Sport",7.8,48,204489,"Boaz Yakin","Denzel Washington","$115.65M"
"1169",19,"The Patriot","165 min","Action, Drama, History",7.2,63,262328,"Roland Emmerich","Mel Gibson","$113.33M"
"1170",20,"Chicken Run","84 min","Animation, Adventure, Comedy",7,88,182968,"Peter Lord","Mel Gibson","$106.83M"
"1171",21,"Miss Congeniality","109 min","Action, Comedy, Crime",6.3,43,196381,"Donald Petrie","Sandra Bullock","$106.81M"
"1172",22,"Gone in 60 Seconds","118 min","Action, Crime, Thriller",6.5,35,267709,"Dominic Sena","Nicolas Cage","$101.65M"
"1173",23,"Unbreakable","106 min","Drama, Mystery, Sci-Fi",7.3,62,400165,"M. Night Shyamalan","Bruce Willis","$95.01M"
"1174",24,"Me, Myself & Irene","116 min","Comedy",6.6,49,229627,"Bobby Farrelly","Jim Carrey","$90.57M"
"1175",25,"Space Cowboys","130 min","Action, Adventure, Thriller",6.5,73,77882,"Clint Eastwood","Clint Eastwood","$90.46M"
"1176",26,"The Emperor's New Groove","78 min","Animation, Adventure, Comedy",7.4,70,189404,"Mark Dindal","David Spade","$89.30M"
"1177",27,"Scream 3","116 min","Horror, Mystery",5.6,56,128141,"Wes Craven","David Arquette","$89.14M"
"1178",28,"U-571","116 min","Action, War",6.6,62,80201,"Jonathan Mostow","Matthew McConaughey","$77.09M"
"1179",29,"Rugrats in Paris","78 min","Animation, Adventure, Comedy",6.2,62,11926,"Stig Bergqvist","Christine Cavanaugh","$76.51M"
"1180",30,"The Family Man","125 min","Comedy, Drama, Fantasy",6.8,42,106346,"Brett Ratner","Nicolas Cage","$75.79M"
"1181",31,"Hollow Man","112 min","Action, Horror, Sci-Fi",5.8,24,127251,"Paul Verhoeven","Kevin Bacon","$73.21M"
"1182",32,"Chocolat","121 min","Drama, Romance",7.2,64,183492,"Lasse Hallström","Juliette Binoche","$71.51M"
"1183",33,"Shaft","99 min","Action, Crime, Thriller",6,50,75392,"John Singleton","Samuel L. Jackson","$70.33M"
"1184",34,"The Kid","104 min","Comedy, Family, Fantasy",6.1,45,41327,"Jon Turteltaub","Bruce Willis","$69.69M"
"1185",35,"Vertical Limit","124 min","Action, Adventure, Drama",5.9,48,60207,"Martin Campbell","Scott Glenn","$69.24M"
"1186",36,"Road Trip","93 min","Comedy",6.4,55,163056,"Todd Phillips","Breckin Meyer","$68.54M"
"1187",37,"Bring It on","98 min","Comedy, Romance, Sport",6,52,91623,"Peyton Reed","Kirsten Dunst","$68.38M"
"1188",38,"102 Dalmatians","100 min","Adventure, Comedy, Family",4.9,35,36363,"Kevin Lima","Glenn Close","$66.96M"
"1189",39,"Finding Forrester","136 min","Drama",7.3,62,84691,"Gus Van Sant","Sean Connery","$66.40M"
"1190",40,"Rules of Engagement","128 min","Drama, Thriller, War",6.4,45,46050,"William Friedkin","Tommy Lee Jones","$61.34M"
"1191",41,"The Cell","107 min","Crime, Horror, Sci-Fi",6.4,40,99435,"Tarsem Singh","Jennifer Lopez","$61.33M"
"1192",42,"Mission to Mars","114 min","Adventure, Sci-Fi, Thriller",5.7,34,71939,"Brian De Palma","Tim Robbins","$60.88M"
"1193",43,"Coyote Ugly","100 min","Comedy, Drama, Music",5.7,27,110634,"David McNally","Piper Perabo","$60.79M"
"1194",44,"Snow Day","89 min","Adventure, Comedy, Family",5.1,34,12066,"Chris Koch","Chevy Chase","$60.02M"
"1195",45,"Next Friday","98 min","Comedy",6.2,41,38436,"Steve Carr","Ice Cube","$57.33M"
"1196",46,"The Whole Nine Yards","98 min","Comedy, Crime",6.7,47,116116,"Jonathan Lynn","Bruce Willis","$57.26M"
"1197",47,"Shanghai Noon","110 min","Action, Adventure, Comedy",6.6,77,122983,"Tom Dey","Jackie Chan","$56.94M"
"1198",48,"Romeo Must Die","115 min","Action, Crime, Thriller",6.1,52,68703,"Andrzej Bartkowiak","Jet Li","$55.97M"
"1199",49,"Final Destination","98 min","Horror, Thriller",6.7,36,239132,"James Wong","Devon Sawa","$53.33M"
"1200",50,"The Road to El Dorado","89 min","Animation, Adventure, Comedy",6.9,51,89833,"Bibo Bergeron","Kevin Kline","$50.86M"
"1201",1,"Harry Potter and the Sorcerer's Stone","152 min","Adventure, Family, Fantasy",7.6,64,696908,"Chris Columbus","Daniel Radcliffe","$317.58M"
"1202",2,"The Lord of the Rings: The Fellowship of the Ring","178 min","Action, Adventure, Drama",8.8,92,1728440,"Peter Jackson","Elijah Wood","$315.54M"
"1203",3,"Monsters, Inc.","92 min","Animation, Adventure, Comedy",8.1,79,849564,"Pete Docter","Billy Crystal","$289.92M"
"1204",4,"Shrek","90 min","Animation, Adventure, Comedy",7.9,84,637793,"Andrew Adamson","Mike Myers","$267.67M"
"1205",5,"Rush Hour 2","90 min","Action, Comedy, Crime",6.6,48,207771,"Brett Ratner","Jackie Chan","$226.16M"
"1206",6,"The Mummy Returns","130 min","Action, Adventure, Fantasy",6.4,48,310348,"Stephen Sommers","Brendan Fraser","$202.02M"
"1207",7,"Pearl Harbor","183 min","Action, Drama, History",6.2,44,319797,"Michael Bay","Ben Affleck","$198.54M"
"1208",8,"Ocean's Eleven","116 min","Crime, Thriller",7.7,74,538135,"Steven Soderbergh","George Clooney","$183.42M"
"1209",9,"Jurassic Park III","92 min","Action, Adventure, Sci-Fi",5.9,42,304672,"Joe Johnston","Sam Neill","$181.17M"
"1210",10,"Planet of the Apes","119 min","Action, Adventure, Sci-Fi",5.7,50,214348,"Tim Burton","Mark Wahlberg","$180.01M"
"1211",11,"A Beautiful Mind","135 min","Biography, Drama",8.2,72,880037,"Ron Howard","Russell Crowe","$170.74M"
"1212",12,"Hannibal","131 min","Crime, Drama, Thriller",6.8,57,263189,"Ridley Scott","Anthony Hopkins","$165.09M"
"1213",13,"American Pie 2","108 min","Comedy",6.4,43,246696,"J.B. Rogers","Jason Biggs","$145.10M"
"1214",14,"The Fast and the Furious","106 min","Action, Crime, Thriller",6.8,58,367369,"Rob Cohen","Vin Diesel","$144.53M"
"1215",15,"Lara Croft: Tomb Raider","100 min","Action, Adventure, Fantasy",5.8,33,203734,"Simon West","Angelina Jolie","$131.14M"
"1216",16,"Dr. Dolittle 2","87 min","Comedy, Family, Fantasy",4.7,49,44227,"Steve Carr","Eddie Murphy","$112.95M"
"1217",17,"Spy Kids","88 min","Action, Adventure, Comedy",5.5,71,112385,"Robert Rodriguez","Alexa PenaVega","$112.72M"
"1218",18,"Black Hawk Down","144 min","Drama, History, War",7.7,74,376544,"Ridley Scott","Josh Hartnett","$108.64M"
"1219",19,"The Princess Diaries","115 min","Comedy, Family, Romance",6.4,52,134828,"Garry Marshall","Julie Andrews","$108.25M"
"1220",20,"Vanilla Sky","136 min","Fantasy, Mystery, Romance",6.9,45,255290,"Cameron Crowe","Tom Cruise","$100.61M"
"1221",21,"The Others","104 min","Horror, Mystery, Thriller",7.6,74,350375,"Alejandro Amenábar","Nicole Kidman","$96.52M"
"1222",22,"Legally Blonde","96 min","Comedy, Romance",6.3,59,198429,"Robert Luketic","Reese Witherspoon","$96.52M"
"1223",23,"America's Sweethearts","102 min","Comedy, Romance",5.7,44,56911,"Joe Roth","Julia Roberts","$93.61M"
"1224",24,"Cats & Dogs","87 min","Action, Comedy, Family",5.1,47,58142,"Lawrence Guterman","Alec Baldwin","$93.39M"
"1225",25,"Save the Last Dance","112 min","Drama, Music, Romance",6.2,53,59509,"Thomas Carter","Julia Stiles","$91.06M"
"1226",26,"Atlantis: The Lost Empire","95 min","Animation, Action, Adventure",6.9,52,110783,"Gary Trousdale","Michael J. Fox","$84.05M"
"1227",27,"Jimmy Neutron: Boy Genius","82 min","Animation, Action, Adventure",6,65,32511,"John A. Davis","Debi Derryberry","$80.94M"
"1228",28,"A.I. Artificial Intelligence","146 min","Drama, Sci-Fi",7.2,65,297927,"Steven Spielberg","Haley Joel Osment","$78.62M"
"1229",29,"Training Day","122 min","Crime, Drama, Thriller",7.7,69,408245,"Antoine Fuqua","Denzel Washington","$76.63M"
"1230",30,"Along Came a Spider","104 min","Drama, Thriller",6.4,42,80453,"Lee Tamahori","Morgan Freeman","$74.08M"
"1231",31,"Bridget Jones's Diary","97 min","Comedy, Drama, Romance",6.7,66,233812,"Sharon Maguire","Renée Zellweger","$71.54M"
"1232",32,"Scary Movie 2","83 min","Comedy",5.3,29,154377,"Keenen Ivory Wayans","Anna Faris","$71.31M"
"1233",33,"The Score","124 min","Action, Crime, Drama",6.8,71,124815,"Frank Oz","Robert De Niro","$71.07M"
"1234",34,"Shallow Hal","114 min","Comedy, Drama, Fantasy",5.9,48,130410,"Bobby Farrelly","Jack Black","$70.84M"
"1235",35,"Swordfish","99 min","Action, Crime, Thriller",6.5,32,181236,"Dominic Sena","John Travolta","$69.77M"
"1236",36,"The Mexican","123 min","Adventure, Comedy, Crime",6.1,43,106066,"Gore Verbinski","Brad Pitt","$66.81M"
"1237",37,"Down to Earth","87 min","Comedy, Fantasy",5.5,32,23424,"Chris Weitz","Chris Rock","$64.19M"
"1238",38,"The Wedding Planner","103 min","Comedy, Romance",5.3,33,78753,"Adam Shankman","Jennifer Lopez","$60.40M"
"1239",39,"Behind Enemy Lines","106 min","Action, Drama, Thriller",6.4,49,101779,"John Moore","Gene Hackman","$59.07M"
"1240",40,"Ali","157 min","Biography, Drama, Sport",6.8,65,96105,"Michael Mann","Will Smith","$58.20M"
"1241",41,"The Animal","84 min","Comedy, Sci-Fi",4.8,43,58725,"Luke Greenfield","Rob Schneider","$57.74M"
"1242",42,"Moulin Rouge!","127 min","Drama, Musical, Romance",7.6,66,273405,"Baz Luhrmann","Nicole Kidman","$57.39M"
"1243",43,"Rat Race","112 min","Action, Adventure, Comedy",6.4,52,112126,"Jerry Zucker","Breckin Meyer","$56.62M"
"1244",44,"A Knight's Tale","132 min","Action, Adventure, Romance",6.9,56,177718,"Brian Helgeland","Heath Ledger","$56.57M"
"1245",45,"Don't Say a Word","113 min","Drama, Mystery, Thriller",6.3,38,50656,"Gary Fleder","Michael Douglas","$55.00M"
"1246",46,"Blow","124 min","Biography, Crime, Drama",7.6,52,248020,"Ted Demme","Johnny Depp","$52.99M"
"1247",47,"The Royal Tenenbaums","110 min","Comedy, Drama",7.6,76,276249,"Wes Anderson","Gene Hackman","$52.36M"
"1248",48,"Exit Wounds","101 min","Action, Crime, Thriller",5.6,39,34335,"Andrzej Bartkowiak","Steven Seagal","$51.76M"
"1249",49,"Enemy at the Gates","131 min","Drama, History, War",7.6,53,251165,"Jean-Jacques Annaud","Jude Law","$51.40M"
"1250",50,"K-PAX","120 min","Drama, Mystery, Sci-Fi",7.4,49,178578,"Iain Softley","Kevin Spacey","$50.34M"
"1251",1,"Spider-Man","121 min","Action, Adventure, Sci-Fi",7.3,73,722048,"Sam Raimi","Tobey Maguire","$403.71M"
"1252",2,"The Lord of the Rings: The Two Towers","179 min","Action, Adventure, Drama",8.7,87,1543423,"Peter Jackson","Elijah Wood","$342.55M"
"1253",3,"Star Wars: Episode II - Attack of the Clones","142 min","Action, Adventure, Fantasy",6.5,54,664919,"George Lucas","Hayden Christensen","$310.68M"
"1254",4,"Harry Potter and the Chamber of Secrets","161 min","Adventure, Family, Fantasy",7.4,63,581014,"Chris Columbus","Daniel Radcliffe","$261.99M"
"1255",5,"My Big Fat Greek Wedding","95 min","Comedy, Drama, Romance",6.6,62,124360,"Joel Zwick","Nia Vardalos","$241.44M"
"1256",6,"Signs","106 min","Drama, Mystery, Sci-Fi",6.7,59,347633,"M. Night Shyamalan","Mel Gibson","$227.97M"
"1257",7,"Austin Powers in Goldmember","94 min","Action, Adventure, Comedy",6.2,62,201613,"Jay Roach","Mike Myers","$213.31M"
"1258",8,"Men in Black II","88 min","Action, Adventure, Comedy",6.2,49,355160,"Barry Sonnenfeld","Tommy Lee Jones","$190.42M"
"1259",9,"Ice Age","81 min","Animation, Adventure, Comedy",7.5,60,457024,"Chris Wedge","Denis Leary","$176.39M"
"1260",10,"Chicago","113 min","Comedy, Crime, Musical",7.2,81,221904,"Rob Marshall","Renée Zellweger","$170.69M"
"1261",11,"Catch Me If You Can","141 min","Biography, Crime, Drama",8.1,75,883513,"Steven Spielberg","Leonardo DiCaprio","$164.62M"
"1262",12,"Die Another Day","133 min","Action, Adventure, Thriller",6.1,56,210524,"Lee Tamahori","Pierce Brosnan","$160.94M"
"1263",13,"Scooby-Doo","86 min","Adventure, Comedy, Family",5.2,35,104833,"Raja Gosnell","Matthew Lillard","$153.29M"
"1264",14,"Lilo & Stitch","92 min","Animation, Adventure, Comedy",7.3,73,176864,"Dean DeBlois","Daveigh Chase","$145.79M"
"1265",15,"xXx","124 min","Action, Adventure, Thriller",5.9,48,176306,"Rob Cohen","Vin Diesel","$142.11M"
"1266",16,"The Santa Clause 2","104 min","Comedy, Family, Fantasy",5.7,48,53010,"Michael Lembeck","Tim Allen","$139.24M"
"1267",17,"Minority Report","145 min","Action, Crime, Mystery",7.6,80,525849,"Steven Spielberg","Tom Cruise","$132.07M"
"1268",18,"The Ring","115 min","Horror, Mystery",7.1,57,332206,"Gore Verbinski","Naomi Watts","$129.13M"
"1269",19,"Sweet Home Alabama","108 min","Comedy, Romance",6.2,45,106761,"Andy Tennant","Reese Witherspoon","$127.22M"
"1270",20,"Mr. Deeds","96 min","Comedy, Romance",5.8,24,139853,"Steven Brill","Adam Sandler","$126.29M"
"1271",21,"The Bourne Identity","119 min","Action, Mystery, Thriller",7.9,68,523322,"Doug Liman","Franka Potente","$121.66M"
"1272",22,"The Sum of All Fears","124 min","Action, Drama, Thriller",6.4,45,110078,"Phil Alden Robinson","Ben Affleck","$118.91M"
"1273",23,"8 Mile","110 min","Drama, Music",7.1,77,263943,"Curtis Hanson","Eminem","$116.72M"
"1274",24,"Road to Perdition","117 min","Crime, Drama, Thriller",7.7,72,256603,"Sam Mendes","Tom Hanks","$104.45M"
"1275",25,"Panic Room","112 min","Crime, Drama, Thriller",6.8,65,268543,"David Fincher","Jodie Foster","$96.40M"
"1276",26,"Maid in Manhattan","105 min","Comedy, Drama, Romance",5.3,45,86560,"Wayne Wang","Jennifer Lopez","$94.01M"
"1277",27,"Two Weeks Notice","101 min","Comedy, Romance",6.2,42,113121,"Marc Lawrence","Sandra Bullock","$93.35M"
"1278",28,"Red Dragon","124 min","Crime, Drama, Thriller",7.2,60,261763,"Brett Ratner","Anthony Hopkins","$93.15M"
"1279",29,"The Scorpion King","92 min","Action, Adventure, Fantasy",5.5,45,134132,"Chuck Russell","Dwayne Johnson","$91.05M"
"1280",30,"Spy Kids 2: Island of Lost Dreams","100 min","Action, Adventure, Comedy",5.2,66,64531,"Robert Rodriguez","Alexa PenaVega","$85.85M"
"1281",31,"Blade II","117 min","Action, Fantasy, Horror",6.7,52,207069,"Guillermo del Toro","Wesley Snipes","$82.35M"
"1282",32,"Snow Dogs","99 min","Adventure, Comedy, Family",5.2,29,26139,"Brian Levant","Cuba Gooding Jr.","$81.17M"
"1283",33,"We Were Soldiers","138 min","Action, Drama, History",7.2,65,134995,"Randall Wallace","Mel Gibson","$78.12M"
"1284",34,"Gangs of New York","167 min","Crime, Drama",7.5,72,419667,"Martin Scorsese","Leonardo DiCaprio","$77.81M"
"1285",35,"Barbershop","102 min","Comedy, Drama",6.3,66,30504,"Tim Story","Ice Cube","$75.78M"
"1286",36,"The Rookie","127 min","Drama, Family, Sport",6.9,72,33676,"John Lee Hancock","Dennis Quaid","$75.60M"
"1287",37,"Spirit: Stallion of the Cimarron","83 min","Animation, Adventure, Drama",7.2,52,71137,"Kelly Asbury","Matt Damon","$73.28M"
"1288",38,"John Q","116 min","Crime, Drama, Thriller",7.1,30,128335,"Nick Cassavetes","Denzel Washington","$71.76M"
"1289",39,"Divine Secrets of the Ya-Ya Sisterhood","116 min","Drama",6.1,48,18912,"Callie Khouri","Sandra Bullock","$69.60M"
"1290",40,"Insomnia","118 min","Drama, Mystery, Thriller",7.2,78,284060,"Christopher Nolan","Al Pacino","$67.36M"
